City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
498,labuan,-6.3784,105.83,29.61,73,20,1.75,ID,1715070591
499,katsuura,35.1333,140.3,20.01,93,100,13.8,JP,1715070592
500,guerrero,20.1667,-98.65,14.06,60,69,2.92,MX,1715070592
501,simpang,-1.2667,104.0833,27.76,92,100,0.54,ID,1715070592
502,fale old settlement,-9.3852,-171.2468,29.9,74,90,4.23,TK,1715070593
503,zouerate,22.7187,-12.4521,28.47,8,100,4.04,MR,1715070593
504,berezovo,63.9381,65.0419,0.3,99,100,5.28,RU,1715070593
505,tevriz,57.509,72.4042,11.95,60,98,4.72,RU,1715070593
506,markaz-e woluswali-ye achin,34.1258,70.7078,29.92,21,4,2.62,AF,1715070594
507,surigao,9.7839,125.4889,29.75,68,98,2.12,PH,1715070594
508,bulolo,-7.2,146.65,23.75,98,100,1.27,PG,1715070594
509,maridi,4.9158,29.4742,27.19,55,100,1.79,SS,1715070594
510,machico,32.7,-16.7667,22.06,83,75,3.09,PT,1715070595
